record_type,name,summary,definitive_status,status_confidence,user_problem,target_users,user_facing_behavior,functional_coverage,scope_boundaries,code_evidence,test_evidence,documentation_evidence,routes_components_services,data_and_schemas,flags_and_configuration,dependencies_and_integrations,known_limitations,related_features,related_explored_ideas,historical_names_or_aliases,runtime_status,runtime_evidence,last_verified_commit,last_verified_date
"feature","Review inbox and item upgrades","Review inbox and item upgrades as classified on current main.","Implemented","High for code; Medium/Low for runtime as stated","The single owner needs review inbox and item upgrades as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","`/review`, item upgrade form; primary entrypoint: review actions and item upgrade actions.","review attention and upgrade policy modules; jobs/scripts: transcript worker.","Unified on current main","review actions and item upgrade actions; review attention and upgrade policy modules.","main-branch review/upgrade tests","Feature-Catalog; Product-Overview","`/review`, item upgrade form; review actions and item upgrade actions; review attention and upgrade policy modules.","item upgrades and transcript jobs","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","Unified on current main","Library; Capture; Organization; Retrieval","See Ideas and Exploration Catalog","Attention Review; distinguish planned spaced repetition Review","Unknown","main-branch review/upgrade tests; baseline 23868faf13c8e3d0821715e6f5d0e3d2af1e1a34.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Enrichment queue and summaries","Enrichment queue and summaries as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs enrichment queue and summaries as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","Item status and detail; primary entrypoint: enrich route and worker.","enrichment pipeline, prompts, queue modules; jobs/scripts: worker and batch cron.","Provider outages leave retryable errors","enrich route and worker; enrichment pipeline, prompts, queue modules.","enrichment worker/pipeline tests and provider evidence","Enrichment-and-AI-Providers; Technology-Stack","Item status and detail; enrich route and worker; enrichment pipeline, prompts, queue modules.","enrichment queue and item summary fields","Generation/embedding provider, endpoint/key/model/dimension and queue configuration as applicable","Configured generation/embedding provider, SQLite FTS/vector state and queues","Provider outages leave retryable errors","Capture; Search/Ask; Notes processing; Provider status","Trust Center; on-device models; proactive suggestions","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","enrichment worker/pipeline tests and provider evidence; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","LLM provider selection","LLM provider selection as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs llm provider selection as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","Settings provider status; primary entrypoint: provider-status route.","LLM factory, Anthropic, OpenRouter, Ollama; jobs/scripts: provider request paths.","Availability depends on configuration","provider-status route; LLM factory, Anthropic, OpenRouter, Ollama.","provider factory/status tests","Enrichment-and-AI-Providers; Technology-Stack","Settings provider status; provider-status route; LLM factory, Anthropic, OpenRouter, Ollama.","settings and usage/error logs","Generation/embedding provider, endpoint/key/model/dimension and queue configuration as applicable","Configured generation/embedding provider, SQLite FTS/vector state and queues","Availability depends on configuration","Capture; Search/Ask; Notes processing; Provider status","Trust Center; on-device models; proactive suggestions","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","provider factory/status tests; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Tags, topics, and generated organization","Tags, topics, and generated organization as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs tags, topics, and generated organization as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","Item detail, topic/tag settings; primary entrypoint: taxonomy actions.","tags, topics, enrichment modules; jobs/scripts: enrichment writes taxonomy.","Category terminology varies historically","taxonomy actions; tags, topics, enrichment modules.","taxonomy and topic tests plus UX v2 evidence","Organization-Tags-Topics-and-Collections","Item detail, topic/tag settings; taxonomy actions; tags, topics, enrichment modules.","tags, topics, joins","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","Category terminology varies historically","Library; Enrichment; Search/Ask scopes","Smart filters/collections; graph; multi-vault","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","taxonomy and topic tests plus UX v2 evidence; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Collections","Collections as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs collections as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","Collection pages and settings; primary entrypoint: taxonomy/app actions.","collection DB module; jobs/scripts: None.","No multi-user sharing","taxonomy/app actions; collection DB module.","DB and UX evidence","Organization-Tags-Topics-and-Collections","Collection pages and settings; taxonomy/app actions; collection DB module.","collections and item joins","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","No multi-user sharing","Library; Enrichment; Search/Ask scopes","Smart filters/collections; graph; multi-vault","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","DB and UX evidence; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Chunking and embedding jobs","Chunking and embedding jobs as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs chunking and embedding jobs as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","Indirect through search/Ask; primary entrypoint: enrichment completion path.","chunk and embedding pipeline modules; jobs/scripts: embedding worker/pipeline.","Backfill is a separate write operation","enrichment completion path; chunk and embedding pipeline modules.","chunk/embed tests and provider evidence","Search-RAG-and-Ask; Feature-Architecture; Data-Model","Indirect through search/Ask; enrichment completion path; chunk and embedding pipeline modules.","chunks, vector tables, embedding jobs","Generation/embedding provider, endpoint/key/model/dimension and queue configuration as applicable","Configured generation/embedding provider, SQLite FTS/vector state and queues","Backfill is a separate write operation","Chunking/embeddings; Notes AI eligibility; Chat; Organization scopes","Evidence Scan; relationship graph; generated pages/flows","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","chunk/embed tests and provider evidence; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Full-text, semantic, and hybrid search","Full-text, semantic, and hybrid search as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs full-text, semantic, and hybrid search as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","`/search` and Library search; primary entrypoint: search route.","search and retrieve modules; jobs/scripts: query-time retrieval.","Result quality depends on indexed content","search route; search and retrieve modules.","search/retrieve tests and production provider proof","Search-RAG-and-Ask; Feature-Architecture; Data-Model","`/search` and Library search; search route; search and retrieve modules.","FTS5, chunks, vector index","Generation/embedding provider, endpoint/key/model/dimension and queue configuration as applicable","Configured generation/embedding provider, SQLite FTS/vector state and queues","Result quality depends on indexed content","Chunking/embeddings; Notes AI eligibility; Chat; Organization scopes","Evidence Scan; relationship graph; generated pages/flows","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","search/retrieve tests and production provider proof; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Ask/RAG with scopes and citations","Ask/RAG with scopes and citations as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs ask/rag with scopes and citations as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","`/ask`, item Ask; primary entrypoint: Ask route.","generator, scope, citation, SSE, retrieve modules; jobs/scripts: streamed provider request.","Citation parser is model-output dependent","Ask route; generator, scope, citation, SSE, retrieve modules.","Ask/SSE/citation tests and live Ask evidence","Search-RAG-and-Ask; Feature-Architecture; Data-Model","`/ask`, item Ask; Ask route; generator, scope, citation, SSE, retrieve modules.","chat threads/messages and chunks","Generation/embedding provider, endpoint/key/model/dimension and queue configuration as applicable","Configured generation/embedding provider, SQLite FTS/vector state and queues","Citation parser is model-output dependent","Chunking/embeddings; Notes AI eligibility; Chat; Organization scopes","Evidence Scan; relationship graph; generated pages/flows","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","Ask/SSE/citation tests and live Ask evidence; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Chat thread persistence","Chat thread persistence as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs chat thread persistence as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","Ask conversation; primary entrypoint: thread routes.","chat DB and Ask history; jobs/scripts: None.","No collaborative threads","thread routes; chat DB and Ask history.","chat DB tests and Ask evidence","Search-RAG-and-Ask; Feature-Architecture; Data-Model","Ask conversation; thread routes; chat DB and Ask history.","threads and messages","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","No collaborative threads","Chunking/embeddings; Notes AI eligibility; Chat; Organization scopes","Evidence Scan; relationship graph; generated pages/flows","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","chat DB tests and Ask evidence; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Related items","Related items as classified on current main.","Implemented","High for code; Medium/Low for runtime as stated","The single owner needs related items as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","Item detail; primary entrypoint: Server-rendered item path.","related-items module; jobs/scripts: Query-time similarity.","Runtime status not independently proven","Server-rendered item path; related-items module.","related-items tests","Search-RAG-and-Ask; Feature-Architecture; Data-Model","Item detail; Server-rendered item path; related-items module.","chunks and item metadata","Generation/embedding provider, endpoint/key/model/dimension and queue configuration as applicable","Configured generation/embedding provider, SQLite FTS/vector state and queues","Runtime status not independently proven","Chunking/embeddings; Notes AI eligibility; Chat; Organization scopes","Evidence Scan; relationship graph; generated pages/flows","Connections; not a graph","Unknown","related-items tests; baseline 23868faf13c8e3d0821715e6f5d0e3d2af1e1a34.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Provider status","Provider status as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs provider status as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","Settings; primary entrypoint: provider-status route.","provider status and factories; jobs/scripts: Network probes.","Status is point-in-time","provider-status route; provider status and factories.","provider tests and deployed provider check","Enrichment-and-AI-Providers; Technology-Stack","Settings; provider-status route; provider status and factories.","Configuration only","Generation/embedding provider, endpoint/key/model/dimension and queue configuration as applicable","Configured generation/embedding provider, SQLite FTS/vector state and queues","Status is point-in-time","Capture; Search/Ask; Notes processing; Provider status","Trust Center; on-device models; proactive suggestions","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","provider tests and deployed provider check; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Local and off-site backups","Local and off-site backups as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The maintainer needs safe, observable local and off-site backups without exposing private operations.","AI Brain maintainer/operator and authorized AI agent","Operator-only; primary entrypoint: Backup scripts.","backup module and deployment cron; jobs/scripts: scheduled backup.","Private restore details are not public","Backup scripts; backup module and deployment cron.","tagged release and round-trip restore evidence","Deployment-and-Operations; Backups-and-Restore; Command-Safety","Operator-only; Backup scripts; backup module and deployment cron.","SQLite backup files and encrypted remote objects","No dedicated feature flag identified; see Configuration Reference for shared settings","SQLite snapshot API, filesystem, encrypted off-site service and private operator context","Private restore details are not public","Deployment; Health; Recall; Backups; private runbooks","Complete artifact backup; centralized observability; stronger CI","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","tagged release and round-trip restore evidence; baseline 90b6c616952d1482867797438abd68ad6e43dbd0.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Restore architecture","Restore architecture as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The maintainer needs safe, observable restore architecture without exposing private operations.","AI Brain maintainer/operator and authorized AI agent","Operator-only; primary entrypoint: Private runbook.","backup/restore modules and historical runbook; jobs/scripts: Manual guarded operation.","No public executable restore command","Private runbook; backup/restore modules and historical runbook.","historical restore smoke evidence","Deployment-and-Operations; Backups-and-Restore; Command-Safety","Operator-only; Private runbook; backup/restore modules and historical runbook.","SQLite database","No dedicated feature flag identified; see Configuration Reference for shared settings","SQLite snapshot API, filesystem, encrypted off-site service and private operator context","No public executable restore command","Deployment; Health; Recall; Backups; private runbooks","Complete artifact backup; centralized observability; stronger CI","See Glossary; AI Brain UI may use AI Memory","Deployed-unverified","historical restore smoke evidence; baseline 90b6c616952d1482867797438abd68ad6e43dbd0.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Hosted service and scheduled jobs","Hosted service and scheduled jobs as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The maintainer needs safe, observable hosted service and scheduled jobs without exposing private operations.","AI Brain maintainer/operator and authorized AI agent","Background runtime; primary entrypoint: Service and timer units.","deployment scripts and scheduler modules; jobs/scripts: service, timer, backup cron.","HTTP, workers, schedules, backups, and one SQLite database are operationally coupled","Service and timer units; deployment scripts and scheduler modules.","2026-07-10 deployment, service, provider, and Recall timer evidence","Deployment-and-Operations; Backups-and-Restore; Command-Safety","Background runtime; Service and timer units; deployment scripts and scheduler modules.","Runtime state and logs","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","HTTP, workers, schedules, backups, and one SQLite database are operationally coupled","Deployment; Health; Recall; Backups; private runbooks","Complete artifact backup; centralized observability; stronger CI","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","2026-07-10 deployment, service, provider, and Recall timer evidence; baseline 6858529ef179a51442d319c6c58e5ace79757619.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Health, client errors, and quota diagnostics","Health, client errors, and quota diagnostics as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The maintainer needs safe, observable health, client errors, and quota diagnostics without exposing private operations.","AI Brain maintainer/operator and authorized AI agent","health API and debug quota page; primary entrypoint: health and client-error routes.","error sink and provider status modules; jobs/scripts: Request-time logging.","Debug surfaces are owner-oriented","health and client-error routes; error sink and provider status modules.","route tests and production health evidence","Deployment-and-Operations; Backups-and-Restore; Command-Safety","health API and debug quota page; health and client-error routes; error sink and provider status modules.","logs and diagnostic counters","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","Debug surfaces are owner-oriented","Deployment; Health; Recall; Backups; private runbooks","Complete artifact backup; centralized observability; stronger CI","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","route tests and production health evidence; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Local status tooling","Local status tooling as classified on current main.","Implemented","High for code; Medium/Low for runtime as stated","The maintainer needs safe, observable local status tooling without exposing private operations.","AI Brain maintainer/operator and authorized AI agent","Menu/status helper; primary entrypoint: Local scripts.","shell count and SwiftBar helpers; jobs/scripts: Local polling.","Tool availability varies by machine","Local scripts; shell count and SwiftBar helpers.","unit/static checks","Deployment-and-Operations; Backups-and-Restore; Command-Safety","Menu/status helper; Local scripts; shell count and SwiftBar helpers.","Read-only local status","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","Tool availability varies by machine","Deployment; Health; Recall; Backups; private runbooks","Complete artifact backup; centralized observability; stronger CI","See Glossary; AI Brain UI may use AI Memory","Unknown","unit/static checks; baseline 23868faf13c8e3d0821715e6f5d0e3d2af1e1a34.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Spaced repetition and review scheduling","Spaced repetition and review scheduling as classified on current main.","Planned","High for absence at the verified baseline; future intent confidence follows planning source","The single owner needs spaced repetition and review scheduling as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","None; primary entrypoint: None.","Schema/planning references only; jobs/scripts: None.","Review inbox is not spaced repetition","None; Schema/planning references only.","Tracker evidence only","Feature-Catalog; Product-Overview","None; None; Schema/planning references only.","Possible cards schema","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","Review inbox is not spaced repetition","Library; Capture; Organization; Retrieval","See Ideas and Exploration Catalog","Attention Review; distinguish planned spaced repetition Review","Not deployed","Tracker evidence only; baseline 23868faf13c8e3d0821715e6f5d0e3d2af1e1a34.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Generated pages and flows","Generated pages and flows as classified on current main.","Planned","High for absence at the verified baseline; future intent confidence follows planning source","The single owner needs generated pages and flows as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","None; primary entrypoint: None.","Planning documents only; jobs/scripts: None.","No shipped implementation","None; Planning documents only.","Tracker evidence only","Feature-Catalog; Product-Overview","None; None; Planning documents only.","None","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","No shipped implementation","Library; Capture; Organization; Retrieval","See Ideas and Exploration Catalog","See Glossary; AI Brain UI may use AI Memory","Not deployed","Tracker evidence only; baseline 23868faf13c8e3d0821715e6f5d0e3d2af1e1a34.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Knowledge graph view","Knowledge graph view as classified on current main.","Planned","High for absence at the verified baseline; future intent confidence follows planning source","The single owner needs knowledge graph view as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","None; primary entrypoint: None.","Planning documents only; jobs/scripts: None.","Related items are not a graph UI","None; Planning documents only.","Tracker evidence only","Feature-Catalog; Product-Overview","None; None; Planning documents only.","No active graph model","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","Related items are not a graph UI","Library; Capture; Organization; Retrieval","See Ideas and Exploration Catalog","See Glossary; AI Brain UI may use AI Memory","Not deployed","Tracker evidence only; baseline 23868faf13c8e3d0821715e6f5d0e3d2af1e1a34.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Obsidian integration","Obsidian integration as classified on current main.","Planned","High for absence at the verified baseline; future intent confidence follows planning source","The single owner needs obsidian integration as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","None; primary entrypoint: None.","Planning documents only; jobs/scripts: None.","No shipped sync path","None; Planning documents only.","Tracker evidence only","Feature-Catalog; Product-Overview","None; None; Planning documents only.","None","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","No shipped sync path","Library; Capture; Organization; Retrieval","See Ideas and Exploration Catalog","See Glossary; AI Brain UI may use AI Memory","Not deployed","Tracker evidence only; baseline 23868faf13c8e3d0821715e6f5d0e3d2af1e1a34.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Fully offline mobile library","Fully offline mobile library as classified on current main.","Planned","High for absence at the verified baseline; future intent confidence follows planning source","The single owner needs fully offline mobile library as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","Offline fallback only; primary entrypoint: None.","Reachability and fallback modules; jobs/scripts: None.","Existing offline page is not offline library data","None; Reachability and fallback modules.","Current client tests","Feature-Catalog; Product-Overview","Offline fallback only; None; Reachability and fallback modules.","No complete on-device library mirror","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","Existing offline page is not offline library data","Library; Capture; Organization; Retrieval","See Ideas and Exploration Catalog","See Glossary; AI Brain UI may use AI Memory","Not deployed","Current client tests; baseline 23868faf13c8e3d0821715e6f5d0e3d2af1e1a34.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"idea","Reading Studio Lite","Reading Studio Lite is a planned non-current capability; it must not be presented as available behavior.","Planned","High; confidence applies to the classification and absence at the verified baseline, not to an unapproved future design.","Potentially deepen reading, annotation, or writing workflows around captured sources without weakening source provenance or note privacy.","The single AI Brain owner and maintainers evaluating a future capability","No current end-to-end user journey. Adjacent behavior: Source-reading Focus, trust strip, transcript panel, My notes. If reconsidered, the exact interaction must be specified before implementation.","No committed feature coverage. The known missing contract is: No PDF viewer, anchors/highlights, editable citations, or citation workflow.","Not implemented at the verified baseline. No PDF viewer, anchors/highlights, editable citations, or citation workflow. No additional recommendation is inferred beyond the cited source.","Current-main adjacent substrate only: Source-reading Focus, trust strip, transcript panel, My notes. No code evidence establishes the complete idea.","No current end-to-end test for the complete idea; current-main source/test inspection supports the non-current classification.","FCP-002 v2; Ideas-and-Exploration-Catalog; relevant dated Feature Council or roadmap source where named.","No dedicated current route/component/service for the complete idea; inspect the adjacent substrate named in code_evidence before planning.","No committed idea-specific persistence contract. Adjacent current state: Source-reading Focus, trust strip, transcript panel, My notes.","No current flag or configuration activates the complete idea.","Would require an approved product/architecture contract plus the current product substrate and its test/operational boundaries.","No PDF viewer, anchors/highlights, editable citations, or citation workflow","Library; Capture; Organization; Retrieval","Reading Studio, attached notes, source provenance, Evidence Scan, backlinks/synthesis, and export ideas.","Source Workspace / Reading Studio Lite / FCP-002.","Not deployed","No runtime proof for the complete idea; classification evidence: FCP-002 v2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"idea","Contextual Ask Evidence Scan","Contextual Ask Evidence Scan is a planned non-current capability; it must not be presented as available behavior.","Planned","High; confidence applies to the classification and absence at the verified baseline, not to an unapproved future design.","Potentially improve how the owner discovers, scopes, explains, or connects knowledge beyond current search and Related behavior.","The single AI Brain owner and maintainers evaluating a future capability","No current end-to-end user journey. Adjacent behavior: Scoped Ask, selected-source scope, citations. If reconsidered, the exact interaction must be specified before implementation.","No committed feature coverage. The known missing contract is: No claim-support verdicts, retrieval snapshot, source-kind/high-quality policies.","Not implemented at the verified baseline. No claim-support verdicts, retrieval snapshot, source-kind/high-quality policies. No additional recommendation is inferred beyond the cited source.","Current-main adjacent substrate only: Scoped Ask, selected-source scope, citations. No code evidence establishes the complete idea.","No current end-to-end test for the complete idea; current-main source/test inspection supports the non-current classification.","FCP-003 v2 and Ask code; Ideas-and-Exploration-Catalog; relevant dated Feature Council or roadmap source where named.","No dedicated current route/component/service for the complete idea; inspect the adjacent substrate named in code_evidence before planning.","No committed idea-specific persistence contract. Adjacent current state: Scoped Ask, selected-source scope, citations.","No current flag or configuration activates the complete idea.","Would require an approved product/architecture contract plus the current retrieval substrate and its test/operational boundaries.","No claim-support verdicts, retrieval snapshot, source-kind/high-quality policies","Chunking/embeddings; Notes AI eligibility; Chat; Organization scopes","Evidence Scan, Connection Map, generated pages/clusters, proactive flows, and current Search/Ask/Related capabilities.","Evidence Scan / FCP-003; do not confuse with current citation-backed Ask.","Not deployed","No runtime proof for the complete idea; classification evidence: FCP-003 v2 and Ask code.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"idea","Relationship Graph/Connection Map","Relationship Graph/Connection Map is a planned non-current capability; it must not be presented as available behavior.","Planned","High; confidence applies to the classification and absence at the verified baseline, not to an unapproved future design.","Potentially improve how the owner discovers, scopes, explains, or connects knowledge beyond current search and Related behavior.","The single AI Brain owner and maintainers evaluating a future capability","No current end-to-end user journey. Adjacent behavior: Related items and semantic events. If reconsidered, the exact interaction must be specified before implementation.","No committed feature coverage. The known missing contract is: No edge model, graph route/UI, accessible alternate view, or rebuild UI.","Not implemented at the verified baseline. No edge model, graph route/UI, accessible alternate view, or rebuild UI. No additional recommendation is inferred beyond the cited source.","Current-main adjacent substrate only: Related items and semantic events. No code evidence establishes the complete idea.","No current end-to-end test for the complete idea; current-main source/test inspection supports the non-current classification.","FCP-004 v2; Ideas-and-Exploration-Catalog; relevant dated Feature Council or roadmap source where named.","No dedicated current route/component/service for the complete idea; inspect the adjacent substrate named in code_evidence before planning.","No committed idea-specific persistence contract. Adjacent current state: Related items and semantic events.","No current flag or configuration activates the complete idea.","Would require an approved edge model, rebuild/consistency policy, accessible non-graph view, and possibly an external graph store/export contract.","No edge model, graph route/UI, accessible alternate view, or rebuild UI","Library; Capture; Organization; Retrieval","Evidence Scan, Connection Map, generated pages/clusters, proactive flows, and current Search/Ask/Related capabilities.","Connection Map / relationship graph / FCP-004; do not rename current Related as a graph.","Not deployed","No runtime proof for the complete idea; classification evidence: FCP-004 v2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"idea","AI Services/Privacy Trust Center","AI Services/Privacy Trust Center is a planned non-current capability; it must not be presented as available behavior.","Planned","High; confidence applies to the classification and absence at the verified baseline, not to an unapproved future design.","Potentially change trust, identity, sharing, or service boundaries that are deliberately narrow in the current product.","The single AI Brain owner and maintainers evaluating a future capability","No current end-to-end user journey. Adjacent behavior: Provider status, consent, privacy copy, backup/export visibility. If reconsidered, the exact interaction must be specified before implementation.","No committed feature coverage. The known missing contract is: No complete data-flow/readiness/eligibility dashboard or diagnostic bundle.","Not implemented at the verified baseline. No complete data-flow/readiness/eligibility dashboard or diagnostic bundle. No additional recommendation is inferred beyond the cited source.","Current-main adjacent substrate only: Provider status, consent, privacy copy, backup/export visibility. No code evidence establishes the complete idea.","No current end-to-end test for the complete idea; current-main source/test inspection supports the non-current classification.","FCP-005 v2 and Settings code; Ideas-and-Exploration-Catalog; relevant dated Feature Council or roadmap source where named.","No dedicated current route/component/service for the complete idea; inspect the adjacent substrate named in code_evidence before planning.","No committed idea-specific persistence contract. Adjacent current state: Provider status, consent, privacy copy, backup/export visibility.","No current flag or configuration activates the complete idea.","Would require an approved product/architecture contract plus the current product substrate and its test/operational boundaries.","No complete data-flow/readiness/eligibility dashboard or diagnostic bundle","Library; Capture; Organization; Retrieval","See Ideas and Exploration Catalog; related current domain: product.","Trust Center / FCP-005; current provider status/settings are adjacent substrate only.","Not deployed","No runtime proof for the complete idea; classification evidence: FCP-005 v2 and Settings code.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"idea","GenPage, GenLink, clusters, smart filters","GenPage, GenLink, clusters, smart filters is a planned non-current capability; it must not be presented as available behavior.","Planned","Medium; confidence applies to the classification and absence at the verified baseline, not to an unapproved future design.","Potentially improve how the owner discovers, scopes, explains, or connects knowledge beyond current search and Related behavior.","The single AI Brain owner and maintainers evaluating a future capability","No current end-to-end user journey. Adjacent behavior: Related/retrieval substrate. If reconsidered, the exact interaction must be specified before implementation.","No committed feature coverage. The known missing contract is: No current product route/flow.","Not implemented at the verified baseline. No current product route/flow. No additional recommendation is inferred beyond the cited source.","Current-main adjacent substrate only: Related/retrieval substrate. No code evidence establishes the complete idea.","No current end-to-end test for the complete idea; current-main source/test inspection supports the non-current classification.","roadmap lanes; Ideas-and-Exploration-Catalog; relevant dated Feature Council or roadmap source where named.","No dedicated current route/component/service for the complete idea; inspect the adjacent substrate named in code_evidence before planning.","No committed idea-specific persistence contract. Adjacent current state: Related/retrieval substrate.","No current flag or configuration activates the complete idea.","Would require an approved product/architecture contract plus the current product substrate and its test/operational boundaries.","No current product route/flow","Library; Capture; Organization; Retrieval","Evidence Scan, Connection Map, generated pages/clusters, proactive flows, and current Search/Ask/Related capabilities.","No additional alias confirmed beyond the inventory name and cited source terminology.","Not deployed","No runtime proof for the complete idea; classification evidence: roadmap lanes.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
